TOPICID,Topic,Scenario
SCS-TIMING-TRAIN-1,兵庫県立大学,兵庫県立大学について調べてください
SCS-TIMING-1,ダークチョコレートの健康への効果,ダークチョコレートの健康効果について，テレビで特集が組まれた結果 SNS でバズっています．興味をもったあなたは，最新のアレクサを使って調べることにしました．調べた後は，最近健康食にはまりだした友人にダークチョコレートの健康への効果を伝えようと思っています．調べたことをまとめてください．
SCS-TIMING-2,風力発電について,"学校の授業で SDGs のことについて学んだあな
た．持続可能な開発の中で自然エネルギーに関して，調べてくるよう先生から宿題が課されました．自然エネルギーに関して調べていく中で風力発電に興味を持ちました．風力発電に関して調べて，調べたことをまとめてください．"
SCS-TIMING-3,スティーブン・スピルバーグ監督について,"最近映画にはまり，毎週のように金曜ロードショーで映画を見ています．
さらにネットフリックスも契約し，毎日のように映画をみています．
良い映画がないかなと調べていると，スティーブン・スピルバーグ監督の映画が評価がよいことがわかりました．
気になったあなたは，スティーブン・スピルバーグ監督について調べようと思いました．
調べたことをまとめてください．"
